data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2020-06-21;22:36:00;COM VÍTIMA;CANCELADA;JARDIM SÃO PAULO;AV SAO PAULO;505;;PIZARIA PASSIRA;JARDIM SÃO PAULO;;SUBURBIO;COLISÃO;AUTO E MOTO;1;1;;;;;;;;1;;;;;;;;;;;;;;
2020-06-22;08:56:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV NORTE;1255;;APOS O VIADUTO DA AV NORTE NO  SENTIDO CIDADE. UNIDADE DA SAÚDE DA FAMÍLIA DE SANTO AMARO 3.;SANTO AMARO;;CIDADE;ATROPELAMENTO;ATROPELAMENTO  EM SEGUIDA CONDUTOR BATEU CONTRA POSTE  COM 2 VITIMAS A ESPERA DO SAMU BT MOTO 20 .37 QTH;;1;;;1;;;;;2;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Canteiro central;;
2020-06-22;09:50:00;COM VÍTIMA;FINALIZADA;GRAÇAS;RUA AMELIA;293;;EM FRENTE A LOJA VIA MUNDI;GRAÇAS;;SUBURBIO;COLISÃO TRASEIRA;COLISÃO COM VITIMA A ESPERA DO SAMU  GM JOSIMAR JUNIOR QTH;1;1;;;;;;;;1;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Outros;Outras;;Única;Faixa contínua;;
2020-06-22;12:31:00;COM VÍTIMA;FINALIZADA;MACAXEIRA;AV JOSE AMERICO DE ALMEIDA;392;;EM FRENTE AO MERCADINHO BELA VISTA E EM FRENTE A ACADEMIA PONTO CERTO;MACAXEIRA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;COLISÃO COM VÍTIMA;;1;;;;1;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;R-6a;;Dupla;Canteiro central;;
2020-06-22;13:20:00;SEM VÍTIMA;FINALIZADA;IBURA;RUA RIO DA PRATA;;;NO FINAL DA RUA PROX AO CENTRO DE APOIO SOCIAL ESPORTIVO CULTURAL;IBURA;;;COLISÃO;COLISAO EM VT DA POLICIA E AUTO S/V;1;;;;;;;1;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;N/I;Dupla;Faixa contínua;;
2020-06-22;14:13:00;COM VÍTIMA;FINALIZADA;CORDEIRO;EST DO FORTE DO ARRAIAL N. DO B. JESUS;1592;RUA ONZE DE FEVEREIRO;EM FRENTE A LAVANDERIA ROUPA LIMPA. FORTE DO COCO.;CORDEIRO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;COLISÃO COM VÍTIMA;;2;;;;;;;;1;;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;
2020-06-22;17:07:00;COM VÍTIMA;FINALIZADA;ESTÂNCIA;AV DR JOSE RUFINO;13;;PRÓXIMO AO COLÉGIO VISÃO.;ESTÂNCIA;;SUBURBIO;ACID. DE PERCURSO;MOTOCICLISTA DERRAPOU- DEVIDO GRANDE QUANTIDADE DE ÓLEO NA VIA.;;1;;;;;;;;1;;Longo da via;Bom;Não existe;Incompleta;Oleosa;Mal conservada;Não existe;Não há placas;;Dupla;Faixa contínua;;
2020-06-22;17:14:00;SEM VÍTIMA;FINALIZADA;IBURA;AV DOIS RIOS;;;E/F A IGREJA EL SHADDAI;IBURA;;;COLISÃO;COLISAO ENTRE DUAS S/V BATEDOR MARCELO E LUCAS DA MOTO 09 E 36 NO LOCAL;;2;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;N/I;Dupla;Faixa contínua;;
2020-06-22;18:16:00;SEM VÍTIMA;FINALIZADA;ROSARINHO;RUA DR JOSE MARIA;866;RUA REGUEIRA COSTA;PROX . AO EDF. ENRIQUE QUINTO E DROGASIL E GALERIA JOAO DE DEUS;ROSARINHO;;;COLISÃO;PALIO E SUZUKI    OBS: SUSPEITA DE EMBRIAGUEZ;2;2;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;N/I;Dupla;Faixa contínua;;
2020-06-22;19:54:00;COM VÍTIMA;FINALIZADA;MADALENA;AV VISCONDE DE ALBUQUERQUE;401;RUA LOPES DE CARVALHO;GALERIA MADALENA CENTER;MADALENA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISÃO COM DUAS VITIMAS;;2;;;;;;;;2;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;;40 km/h;Única;;;
2020-06-22;20:32:00;SEM VÍTIMA;FINALIZADA;ENCRUZILHADA;RUA CASTRO ALVES;;RUA JOSE DE SA CARNEIRO;*SEMÁFORO 666* /  E/F A QUALIMENTOS E CAIXA ECONÔMICA;ENCRUZILHADA;666;;ENGAVETAMENTO;ENTRE 3 AUTOS. O RESPONSÁVEL PELO ENGAVETAMENTO APRESENTA SINAIS FORTES DE EMBRIAGUEZ- INCLUSIVE- TENTOU AGREDIR TERCEIROS NO LOCAL- MAS PERMANECE NA VIA PARA O PROCEDIMENTO DE OCORRÊNCIA DA CTTU. S/V;3;;;;;;;;;0;;;;;;;;;;;;;;
2020-06-22;21:48:00;COM VÍTIMA;FINALIZADA;VÁRZEA;RUA DONA MARIA LACERDA;18;;NA RUA DA DELEGACIA DA VÁRZEA E 12º BATALHÃO;VÁRZEA;;SUBURBIO;CHOQUE OBJETO FIXO;VT DA PM ACABOU SE CHOCANDO CONTRA O FITEIRO NA LOCALIDADE. SOLICITAM O APOIO DA CTTU NO LOCAL. S/V;;;;;;;;1;1;2;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;
2020-06-23;02:03:00;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE;;;PROXIMO DO TERMINLA DA MACAXEIRA;MACAXEIRA;;SUBURBIO;CHOQUE OBJETO FIXO;CONDUTOR PERDEU O CONTROLE DO VEICULO- SUBIU A CALÇADA- BATEU NUMA MURETA DE PROTEÇÃO E CAIU SOBRE UMA FÁBRICA DE BOLOS DE ROLO.;1;;;;;;;;;0;;Outros;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;N/I;Única;Canteiro central;;
2020-06-23;08:10:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AVENIDA CELSO FURTADO (VIA MANGUE);;;SUBIDA DO VIADUTO DOM JOÃO VI;BOA VIAGEM;;SUBURBIO;TOMBAMENTO;ACIDENTE DE PERCURSO/ CICLISTA CAIU NA VIA;;;;1;;;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-19;60 km/h;Dupla;Canteiro central;;
2020-06-23;10:47:00;SEM VÍTIMA;FINALIZADA;ÁGUA FRIA;RUA SAO BENEDITO;;AV BEBERIBE;EM FRENTE AO LAVA JATO;ÁGUA FRIA;;;COLISÃO;VT 11 NO QTH  CAMINHAO E AUTO;1;;;;;;1;;;0;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;N/I;Única;Não existe;;
2020-06-23;11:29:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV JOAO DE BARROS;;RUA DOM VITAL;;SANTO AMARO;412;CIDADE;ATROPELAMENTO;O VEÍCULO EVADIU-SE DO LOCAL;1;;;;1;;;;;1;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;;;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
2020-06-23;12:57:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;AV MARECHAL MASCARENHAS DE MORAES;40;;EM FRENTE A IGREJA BATISTA DO LARGO DA PAZ (SENT. CIDADE) / PONTE MOTOCOLOMBO;AFOGADOS;;CIDADE;COLISÃO;COLISÃO S/VITIMAS ENTRE DOIS AUTOS;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;60KM;Dupla;Canteiro central;;
2020-06-23;14:37:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV BOA VIAGEM;30;;E/F AO EDF. ENSEADA DA BARRA;BOA VIAGEM;;;COLISÃO;COLISÃO S/VITIMAS ENTRE DOIS AUTOS;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Outras;N/I;Única;Faixa seccionada;;
2020-06-23;17:49:00;SEM VÍTIMA;FINALIZADA;SAN MARTIN;AV ENGENHEIRO ABDIAS DE CARVALHO;;;EM FRENTE A CHESF;SAN MARTIN;;CIDADE;COLISÃO;COLISÃO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;N/I;Dupla;Canteiro central;;
2020-06-23;22:10:00;COM VÍTIMA;FINALIZADA;ARRUDA;RUA DO MACHADO;946;;E/F A PRACINHA (MARIA JOSE DOS SANTOS);ARRUDA;;;COLISÃO COM CICLISTA;COLISAO COM VITIMAS;;;;1;;1;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa seccionada;;
2020-06-24;11:51:00;SEM VÍTIMA;FINALIZADA;TORRE;RUA JOAO TUDE DE MELO;;;SENT. CARREFOUR- EM FRENTE AO POSTO DE GASOLINA PETROMEGA;TORRE;;;COLISÃO;AMBULANCIA E AUTO;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;N/I;Única;Faixa seccionada;;
2020-06-24;14:16:00;COM VÍTIMA;CANCELADA;ESTÂNCIA;AV RECIFE;;;EM FRENTE AO MAKRO/ SENTIDO CAXANGA;ESTÂNCIA;;;COLISÃO;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;;;;;;;;;;;;;;
2020-06-24;20:53:00;COM VÍTIMA;FINALIZADA;TEJIPIÓ;AV DR JOSE RUFINO;46;RUA MAJOR CHAGAS DE OLIVEIRA;POR CIMA DO VIADUTO DA BR NA CURVA SENTIDO AFOGADOS. SERRALHARIA GUEDES.;TEJIPIÓ;;SUBURBIO;ABALROAMENTO LONGITUDINAL;FIAT PALIO X MOTO;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Incompleta;Seca;Mal iluminada;Não existe;Não há placas;;Dupla;Faixa contínua;;
2020-06-24;21:25:00;COM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;1921;;E/F AO MADRUGADA BURGUER / PRÓX AO BAR DA RABADA;NOVA DESCOBERTA;;;COLISÃO FRONTAL;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2020-06-25;10:41:00;COM VÍTIMA;FINALIZADA;ILHA DO RETIRO;RUA SPORT CLUBE DO RECIFE;;RUA PROFESSOR BENEDITO MONTEIRO;LADO OPOSTO AO ESTÁDIO ADELMAR DA COSTA CARVALHO.;ILHA DO RETIRO;481;SUBURBIO;ABALROAMENTO LONGITUDINAL;GM MATOS NO QTH - AUTO E MOTO COM VITIMA;1;1;;;;;;;;1;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;60 km/h;Dupla;Canteiro central;;
