DATA;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2019-09-07;08:14:00;SEM VÍTIMA;FINALIZADA;ROSARINHO;AV SANTOS DUMONT;;RUA TELES JUNIOR;ESQUINA DA FARMACIA EXTRA FARMA;AV SANTOS DUMONT;;ESQUINA DA FARMACIA EXTRA FARMA;ROSARINHO;;;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;2;;;;;;;;;0;;Cruzamento;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
2019-09-07;09:01:00;SEM VÍTIMA;FINALIZADA;;AV GOVERNADOR AGAMENON MAGALHAES;;;SOBRE O VIADUTO;AV GOVERNADOR AGAMENON MAGALHAES;;SOBRE O VIADUTO;;;SUBURBIO;COLISÃO TRASEIRA;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;Viaduto;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;
2019-09-07;09:34:00;COM VÍTIMA;FINALIZADA;CAMPO GRANDE;RUA PRUDENTE DE MORAES;487;;EM FRENTE A PADARIA DELICATECEM / CONGREGAÇÃO BATISTA CENTRAL;RUA PRUDENTE DE MORAES;487;EM FRENTE A PADARIA DELICATECEM / CONGREGAÇÃO BATISTA CENTRAL;CAMPO GRANDE;;CIDADE;COLISÃO;COLISÃO CARRO E MOTO COM VÍTIMAS;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Faixa seccionada;;
2019-09-07;09:43:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4526;;LADO OPOSTO AO FÓRUM DO TRABALHO;AV MARECHAL MASCARENHAS DE MORAES;4526;LADO OPOSTO AO FÓRUM DO TRABALHO;IMBIRIBEIRA;;SUBURBIO;COLISÃO TRASEIRA;DOIS AUTOS;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;;
2019-09-07;10:32:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;RUA DA AURORA;1377;;EM FRENTE A SEPLAG PE;RUA DA AURORA;1377;EM FRENTE A SEPLAG PE;BOA VISTA;;SUBURBIO;CHOQUE OBJETO FIXO;VEICULO CHOCOU-SE COM O POSTE;1;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;
2019-09-07;11:01:00;SEM VÍTIMA;FINALIZADA;PORTO DA MADEIRA;RUA DONA VIRTUOSA DE LUCENA;46;AV BEBERIBE;;RUA DONA VIRTUOSA DE LUCENA;46;;PORTO DA MADEIRA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;DOIS AUTOS;2;;;;;;;;;0;;Longo da via;Chuvoso;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;;Dupla;Faixa seccionada;;
2019-09-07;14:36:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;RUA VINTE E UM DE ABRIL;1535;;E/F A IGREJA BATISTA RENOVADA;RUA VINTE E UM DE ABRIL;1535;E/F A IGREJA BATISTA RENOVADA;AFOGADOS;;;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;;;;;;;;;;;;;;
2019-09-07;14:46:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA TOME GIBSON;;RUA AMAZONAS;E/F A UNIC NA RUA DO GALETO PEQUIM;RUA TOME GIBSON;;E/F A UNIC NA RUA DO GALETO PEQUIM;BOA VIAGEM;;;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;;;;;;;;;;;;;;
2019-09-07;15:39:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA BENFICA;;;SOB O SEMÁFORO DE Nº 590;RUA BENFICA;;SOB O SEMÁFORO DE Nº 590;MADALENA;590;CIDADE;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Chuvoso;Sem defeito;Perfeito estado;;Perfeito estado;Faixa de pedestre;R-6a;;Dupla;Faixa seccionada;;
2019-09-07;16:06:00;SEM VÍTIMA;FINALIZADA;PINA;RUA BEM TE VI;1;;JCPM;RUA BEM TE VI;1;JCPM;PINA;;SUBURBIO;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Não existe;;
